Summary Statistics:
            gender        lunch  ...          GPA  above average
count  1000.000000  1000.000000  ...  1000.000000    1000.000000
mean      0.518000     0.645000  ...    67.770580       0.526000
std       0.499926     0.478753  ...    14.257311       0.499573
min       0.000000     0.000000  ...     9.000000       0.000000
25%       0.000000     0.000000  ...    58.330000       0.000000
50%       1.000000     1.000000  ...    68.330000       1.000000
75%       1.000000     1.000000  ...    77.670000       1.000000
max       1.000000     1.000000  ...   100.000000       1.000000

[8 rows x 8 columns]
